,dwelling
2015-01-01 00:00:00,-0.0
2015-01-01 01:00:00,-0.0
2015-01-01 02:00:00,-0.0
2015-01-01 03:00:00,-0.0
2015-01-01 04:00:00,-0.0
2015-01-01 05:00:00,-0.0
2015-01-01 06:00:00,-0.0
2015-01-01 07:00:00,-0.0
2015-01-01 08:00:00,-0.4660563891577194
2015-01-01 09:00:00,-0.0
2015-01-01 10:00:00,-1.2593724469903136
2015-01-01 11:00:00,-0.0
2015-01-01 12:00:00,-0.0
2015-01-01 13:00:00,-0.0
2015-01-01 14:00:00,-0.0
2015-01-01 15:00:00,-0.0847352022436885
2015-01-01 16:00:00,-0.0
2015-01-01 17:00:00,-0.0
2015-01-01 18:00:00,-3.580730963800794
2015-01-01 19:00:00,-2.034320842504578
2015-01-01 20:00:00,-0.0
2015-01-01 21:00:00,-0.0
2015-01-01 22:00:00,-0.0
2015-01-01 23:00:00,-0.232875644300284
2015-01-02 00:00:00,-0.0
2015-01-02 01:00:00,-0.0
2015-01-02 02:00:00,-0.0
2015-01-02 03:00:00,-0.4626447958250458
2015-01-02 04:00:00,-0.0
2015-01-02 05:00:00,-0.0
2015-01-02 06:00:00,-0.0
2015-01-02 07:00:00,-0.20882691387312935
2015-01-02 08:00:00,-0.09491237924362535
2015-01-02 09:00:00,-0.09638960026199113
2015-01-02 10:00:00,-0.45913511177652216
2015-01-02 11:00:00,-4.467074928890671
2015-01-02 12:00:00,-0.518730888882627
2015-01-02 13:00:00,-0.0
2015-01-02 14:00:00,-0.0
2015-01-02 15:00:00,-0.0
2015-01-02 16:00:00,-0.0
2015-01-02 17:00:00,-0.0
2015-01-02 18:00:00,-0.0
2015-01-02 19:00:00,-0.0
2015-01-02 20:00:00,-0.7486973754301105
2015-01-02 21:00:00,-0.0
2015-01-02 22:00:00,-0.0
2015-01-02 23:00:00,-0.0
2015-01-03 00:00:00,-0.31841297074280034
2015-01-03 01:00:00,-0.0
2015-01-03 02:00:00,-0.0
2015-01-03 03:00:00,-0.0
2015-01-03 04:00:00,-0.0
2015-01-03 05:00:00,-0.0
2015-01-03 06:00:00,-0.0
2015-01-03 07:00:00,-0.0
2015-01-03 08:00:00,-1.2330787867885509
2015-01-03 09:00:00,-3.1267007820410275
2015-01-03 10:00:00,-0.0
2015-01-03 11:00:00,-0.0
2015-01-03 12:00:00,-0.0
2015-01-03 13:00:00,-0.0
2015-01-03 14:00:00,-0.0
2015-01-03 15:00:00,-0.259390802972739
2015-01-03 16:00:00,-1.5620377736576354
2015-01-03 17:00:00,-0.0
2015-01-03 18:00:00,-1.4980456093939625
2015-01-03 19:00:00,-0.0
2015-01-03 20:00:00,-0.0
2015-01-03 21:00:00,-0.0
2015-01-03 22:00:00,-0.0
2015-01-03 23:00:00,-0.0
2015-01-04 00:00:00,-0.15419625532453543
2015-01-04 01:00:00,-0.0
2015-01-04 02:00:00,-0.0
2015-01-04 03:00:00,-0.0
2015-01-04 04:00:00,-0.0
2015-01-04 05:00:00,-0.0
